word	Complex Substance (Locke) <> Mixed Modes (Locke)	Concrete (Brysbaert et al 2014) <> Abstract (Brysbaert et al 2014)	Concrete (HGI) <> Abstract (HGI)	Hard Seed (Heuser & Le-Khac 2012) <> Abstract Values (Heuser & Le-Khac 2012)	Pre-1150 Words (Underwood & Sellars 2012) <> Post-1150 Words (Underwood & Sellars 2012)	Specific Complex Substance (Locke) <> General Complex Substance (Locke)	fpm	lang	pos	rank	ConcAbs (Locke)	ConcAbs (HGI)	lemma	perc_caps	pos_byu	rank_byu
sacked	-0.170519135893	-0.0667940042913	-0.123958781361	-0.0364035051316	-0.0652254708111	-0.09640358760960001	1.0678522149299998		v	21049	Concrete	Neither	sack	0.04	vvn	27065
sacks	-0.227170802653	-0.293914169073	-0.277571707964	-0.229514271021	-0.22890740633	-0.187846884131	2.28052901644		n	14714	Concrete	Concrete	sack	0.17	nn2	9779
sacrament	0.03673624433580001	0.059627110138600004	0.110056899488	0.07514232024550001	0.0463500674814	0.0771922171116	30.675456107	eng	n	2606	Neither	Neither	sacrament	0.13	nn1	18214
sacramental	0.0386118870228	0.068375736475	0.12535291165100002	0.045250693336100004	0.0501403268427	0.05649740807709999	2.76599601214		j	13274	Neither	Neither	sacramental	0.04	jj	20466
sacraments	0.06989077478649999	0.121960058808	0.154904916882	0.0736154802143	0.0828897245228	0.0589416250586	11.9959601481		n	5283	Neither	Abstract	sacrament	0.08	nn2	23053
sacred	0.0598541237413	0.137741565704	0.16953939199499998	0.12016719579700001	0.042245103046300005	0.0737277530134	107.21429065	enm	j	795	Neither	Abstract	sacred	0.14	jj	3923
sacrifice	0.104619756341	0.0830650404095	0.060245640575900004	0.112278912216	-0.00440647479263	0.119933027774	73.44267949479999	eng	n	1172	Neither	Neither	sacrifice	0.03	nn1	6426
sacrificed	0.0263910004869	0.111967816949	0.04833728913219999	0.07367596961560001	0.005518628284340001	0.0843871086836	11.542471024100001		v	5431	Neither	Neither	sacrifice	0.01	vvn	16166
sacrifices	0.0496363006532	0.06919841840860001	0.0864089541137	0.0592712666839	0.0153682581149	0.119540646672	26.264866227800002		n	2972	Neither	Neither	sacrifice	0.02	nn2	11600
sacrificing	0.101972490549	0.125529754906	0.0743107385934	0.0873819552362	0.0689695887268	0.0771350041032	4.21175595625		v	10459	Neither	Neither	sacrifice	0.03	vvg	15680
sacrilege	0.0924199186266	0.12318195402599999	0.09733106568460001	0.15810170024599998	0.0446083471179	0.0405785758048	3.19920211963	eng	n	12199	Neither	Neither	sacrilege	0.07	nn1	38264
sacrilegious	0.0355909094214	0.151773169637	0.10432136431299999	0.143395558	0.041356302797800004	0.030205924064000002	2.17028747456	eng	j	15081	Neither	Neither	sacrilegious	0.0	jj	44489
